product_id,product_name,category,description,customization_fields,base_price,currency,availability,materials,color_options,gallery_images_count,variants_count
KP001,Custom Engraved Metal Name Keychain,Custom Keychains,"High-quality, polished steel or brass metal keychain customized with your name in beautiful Devanagari calligraphy or English script. Laser-cut to precision, offering a glossy and premium finish. Ideal for keys, backpacks, and personal gifting.","[{""name"": ""Custom Name / Text"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Enter name (e.g., Mahakal, Pooja)""}, {""name"": ""Font Style / Language"", ""type"": ""select"", ""options"": [""Devanagari Calligraphy"", ""English Script"", ""Standard Bold""], ""required"": true}, {""name"": ""Material / Finish"", ""type"": ""select"", ""options"": [""Glossy Steel"", ""Rose Gold Titanium"", ""Matte Black Metal""], ""required"": true}]",199,INR,Custom Order,"Metal, Stainless Steel","Rose Gold, Silver, Titanium Black",6,6
KP002,Custom Vehicle Number Plate Keychain,Custom Keychains,Personalized mini vehicle license plate keychain designed to match your bike or car number plate. Laser-engraved for durability and long-lasting quality. A perfect gift for automobile enthusiasts.,"[{""name"": ""Vehicle Number / Text"", ""type"": ""text"", ""required"": true, ""placeholder"": ""e.g., MH 12 AB 1234""}, {""name"": ""Design Type"", ""type"": ""select"", ""options"": [""Standard Car Plate"", ""Standard Bike Plate"", ""Custom Font Layout""], ""required"": true}]",149,INR,Custom Order,"Acrylic, Metal","White and Black, Yellow and Black",2,2
KP003,Custom Acrylic Keychain,Custom Keychains,"Vibrant, lightweight, and durable custom acrylic keychains. Can be printed with company logos, custom graphics, or personalized text. Perfect for corporate promotions, branding, or bulk gifting.","[{""name"": ""Custom Text / Logo Upload"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Enter text or upload logo""}, {""name"": ""Acrylic Type"", ""type"": ""select"", ""options"": [""Clear Acrylic"", ""Black Acrylic"", ""White Acrylic""], ""required"": true}]",99,INR,Custom Order,Acrylic,"Black, Clear, White",1,1
KP004,Custom Acrylic LED Backlit Nameplate,Wall Art & Nameplates,"Premium illuminated house or office nameplate. Made with durable acrylic and backlit with high-quality, long-lasting LED lights. Weatherproof and ideal for outdoor or indoor placement. Creates a beautiful glowing effect at night.","[{""name"": ""Name(s) to Display"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Enter name(s)""}, {""name"": ""LED Light Color"", ""type"": ""select"", ""options"": [""Warm White"", ""Cool White"", ""Vibrant Blue"", ""RGB Multi-color (with remote)""], ""required"": true}, {""name"": ""Backing Board Material"", ""type"": ""select"", ""options"": [""Black Gloss Acrylic"", ""Wooden Finish ACP"", ""Transparent Acrylic""], ""required"": true}]",1499,INR,Custom Order,"Acrylic, LED Lights","Blue, Cool White, Multi-color LED, Warm White",2,2
KP005,Personalized Door Nameplate,Wall Art & Nameplates,"Elegant, non-illuminated nameplate for homes, bungalows, or offices. Features custom fonts, laser-cut letters, and high-quality finishes (wood, acrylic, or composite materials) that add an inviting touch to your entrance.","[{""name"": ""Name(s) to Display"", ""type"": ""text"", ""required"": true, ""placeholder"": ""e.g., The Sutar Family""}, {""name"": ""Material Theme"", ""type"": ""select"", ""options"": [""Natural Wood Finish"", ""Glossy Black Acrylic"", ""Rose Gold Titanium Plate""], ""required"": true}, {""name"": ""Mounting Type"", ""type"": ""select"", ""options"": [""Wall Mount Screws"", ""Double-sided Industrial Tape"", ""Hanging Chain""], ""required"": true}]",799,INR,Custom Order,"Acrylic, Metal, Wood","Customized Color, Golden, Rose Gold",6,6
KP006,Personalized Desk Name Stand,Desk Organizers & Stands,"Customized wooden or acrylic name stand designed for office desks, study tables, or reception counters. Showcases your name and designation in a sleek, professional layout.","[{""name"": ""Name to Display"", ""type"": ""text"", ""required"": true, ""placeholder"": ""e.g., Shubham Sutar""}, {""name"": ""Designation / Subtext"", ""type"": ""text"", ""required"": false, ""placeholder"": ""e.g., Civil Engineer""}, {""name"": ""Material Type"", ""type"": ""select"", ""options"": [""Premium Oak Wood"", ""Dark Walnut Wood"", ""Black Acrylic""], ""required"": true}]",399,INR,Custom Order,"Acrylic, Wood","Black Gloss, Natural Wood",2,2
KP007,Personalized Desk Name Stand with Pen Holder,Desk Organizers & Stands,"Functional and elegant desk organizer combining a customized name stand with integrated pen/pencil slots. Hand-crafted from premium wood materials, ideal for professionals, lawyers, and advocates.","[{""name"": ""Name to Display"", ""type"": ""text"", ""required"": true, ""placeholder"": ""e.g., Adv. Rajesh Patil""}, {""name"": ""Designation / Logo (e.g., Law Scales)"", ""type"": ""text"", ""required"": false, ""placeholder"": ""Designation/Logo details""}, {""name"": ""Pen Slots Quantity"", ""type"": ""select"", ""options"": [""Single Slot"", ""Double Slot"", ""Multi-slot Organizer""], ""required"": true}]",599,INR,Custom Order,"Metal, Wood","Natural Oak, Polished Walnut",3,3
KP008,Custom Wooden Pen Stand & Organizer,Desk Organizers & Stands,"Premium desk pen stand engraved with your company logo, personal brand, or custom name. Made from high-quality polished wood, it makes an excellent corporate or office gift.","[{""name"": ""Engraving Text / Logo Details"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Enter name or logo details""}, {""name"": ""Wood Color"", ""type"": ""select"", ""options"": [""Natural Light Wood"", ""Polished Mahogany""], ""required"": true}]",299,INR,Custom Order,Wood,"Natural Light, Polished Mahogany",1,1
KP009,Custom Engraved Name Pen,Writing Instruments,"Sleek metal body pen custom-engraved with your name. Features smooth ink flow and a premium feel. Packaged elegantly, making it a thoughtful gift for writers, teachers, and professionals.","[{""name"": ""Name to Engrave"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Enter Name (Max 20 chars)""}, {""name"": ""Pen Body Color"", ""type"": ""select"", ""options"": [""Matte Black with Gold Trim"", ""Glossy Silver"", ""Metallic Blue""], ""required"": true}]",199,INR,Custom Order,Metal,"Glossy Silver, Matte Black, Metallic Blue",4,4
KP010,Custom Engraved Stainless Steel Bottle,Drinkware,"Durable, eco-friendly stainless steel water bottle personalized with high-precision laser engraving. Leakproof and designed for daily use at school, office, or gym.","[{""name"": ""Name / Text to Engrave"", ""type"": ""text"", ""required"": true, ""placeholder"": ""Enter Name or Initials""}, {""name"": ""Bottle Color"", ""type"": ""select"", ""options"": [""Matte Black"", ""Metallic Silver"", ""Vibrant Red"", ""Deep Blue""], ""required"": true}]",499,INR,Custom Order,Stainless Steel,"Blue, Matte Black, Metallic Silver, Red",2,2
